Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"J1","Conn_01x40","PinHeader_1x40_P2.54mm_Vertical",5.550000,-5.623000,-90.000000,bottom
"J2","Conn_01x40","PinHeader_1x40_P2.54mm_Vertical",5.588000,-104.648000,-90.000000,bottom
"C1","15p","C_0603_HandSolder",45.682000,-50.073000,0.000000,top
"C2","15p","C_0603_HandSolder",41.872000,-53.248000,-90.000000,top
"C3","100n","C_0603_HandSolder",70.320000,-49.438000,90.000000,top
"C4","2.2u","C_0603_HandSolder",63.716000,-63.408000,-90.000000,top
"C5","10u","C_0805_HandSolder",92.545000,-51.978000,0.000000,top
"C6","10u","C_0805_HandSolder",81.115000,-51.978000,180.000000,top
"C7","10u","C_0805_HandSolder",26.759000,-64.043000,-90.000000,top
"C8","22u","C_0805_HandSolder",26.759000,-69.123000,90.000000,top
"C9","100n","C_0603_HandSolder",59.398000,-48.803000,0.000000,top
"C10","2.2u","C_0603_HandSolder",65.621000,-63.408000,-90.000000,top
"C11","100n","C_0603_HandSolder",45.682000,-58.328000,180.000000,top
"C12","100n","C_0603_HandSolder",54.064000,-63.408000,-90.000000,top
"C13","100n","C_0603_HandSolder",58.001000,-63.408000,-90.000000,top
"C14","100n","C_0603_HandSolder",53.048000,-45.755000,90.000000,top
"C15","100n","C_0603_HandSolder",68.796000,-54.899000,0.000000,top
"C16","100n","C_0603_HandSolder",67.526000,-63.408000,-90.000000,top
"C17","100n","C_0603_HandSolder",45.682000,-60.233000,180.000000,top
"C18","2.2u","C_0603_HandSolder",68.796000,-52.994000,180.000000,top
"C19","100n","C_0603_HandSolder",90.640000,-65.313000,90.000000,top
"C20","100n","C_0603_HandSolder",18.504000,-67.599000,180.000000,top
"C21","100n","C_0603_HandSolder",13.424000,-67.599000,0.000000,top
"C22","100n","C_0603_HandSolder",90.640000,-60.868000,-90.000000,top
"C23","100n","C_0603_HandSolder",13.424000,-65.059000,0.000000,top
"C24","100n","C_0603_HandSolder",13.424000,-71.917000,-90.000000,top
"C25","100n","C_0603_HandSolder",80.480000,-61.503000,-90.000000,top
"C26","DNP","C_0603_HandSolder",87.465000,-71.663000,0.000000,top
"D1","D_Schottky","D_SMA",96.355000,-69.123000,-90.000000,top
"D2","12v","LED_0805_2012Metric",96.990000,-92.618000,-90.000000,top
"D3","D_Schottky","D_SMA",95.085000,-46.263000,90.000000,top
"D4","D_Schottky","D_SMA",78.575000,-46.263000,-90.000000,top
"D5","D_Schottky","D_SMA",26.124000,-56.931000,90.000000,top
"D6","D_Schottky","D_SMA",35.522000,-56.931000,90.000000,top
"D7","-12v","LED_0805_2012Metric",99.530000,-92.618000,90.000000,top
"D8","5v","LED_0805_2012Metric",99.530000,-17.688000,90.000000,top
"D9","USB","LED_0805_2012Metric",102.070000,-27.213000,90.000000,top
"D10","3.3v","LED_0805_2012Metric",96.990000,-17.688000,90.000000,top
"D11","D_Schottky","D_SMA",90.005000,-46.263000,90.000000,top
"D12","D_Schottky","D_SMA",96.355000,-76.743000,-90.000000,top
"D13","D_Schottky","D_SMA",83.655000,-46.263000,-90.000000,top
"FB1","1k @ 100MHz","L_0603_HandSolder",94.450000,-27.848000,180.000000,top
"FB2","1k @ 100MHz","L_0603_HandSolder",79.210000,-27.848000,0.000000,top
"J4","USB C/USB 2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",3.645000,-55.153000,-90.000000,top
"J5","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",63.208000,-77.251000,90.000000,top
"R1","1k","R_0603_HandSolder",45.682000,-56.423000,0.000000,top
"R2","DNP","R_0603_HandSolder",87.465000,-73.568000,0.000000,top
"R3","1k","R_0603_HandSolder",52.540000,-71.120000,180.000000,top
"R4","10k","R_0603_HandSolder",52.540000,-73.060000,180.000000,top
"R5","DNP","R_0603_HandSolder",81.115000,-73.568000,0.000000,top
"R6","10k","R_0603_HandSolder",57.620000,-73.060000,180.000000,top
"R7","10k","R_0603_HandSolder",92.545000,-60.868000,-90.000000,top
"R8","47k","R_0603_HandSolder",86.830000,-58.328000,0.000000,top
"R9","1k","R_0603_HandSolder",77.002500,-65.948000,180.000000,top
