Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0603_HandSolder,2,15p,C1644
"C10, C18, C4",C_0603_HandSolder,3,2.2u,C23630
"C11, C12, C13, C14, C15, C16, C17, C19, C22, C25, C3, C9",C_0603_HandSolder,12,100n,C14663
"C5, C6, C7",C_0805_HandSolder,3,10u,C15850
C8,C_0805_HandSolder,1,22u,C45783
"D1, D11, D12, D13, D3, D4, D5, D6",D_SMA,8,D_Schottky,C2480
D10,0805,1,3.3v,C2297
D2,0805,1,12v,C2297
D7,0805,1,-12v,C2297
D9,0805,1,USB,C2297
"FB1, FB2",L_0603_HandSolder,2,1k @ 100MHz,C1002
"J1, J2",PinHeader_1x40_P2.54mm_Vertical,2,Conn_01x40,
J3,Eurorack_Power_2x5_Shrouded_Lock_LongPads,1,Power,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB C/USB 2.0,C2765186 
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"JP1, JP201",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,Jumper_Closed,
"R1, R20, R3, R9",R_0603_HandSolder,4,1k,C21190
"R10, R11",R_0603_HandSolder,2,27R,C25190
"R12, R13",R_0603_HandSolder,2,5k1,C23186
R14,R_0603_HandSolder,1,1R,C22936
R15,R_0603_HandSolder,1,200R,C8218
"R16, R17, R4, R6, R7",R_0603_HandSolder,5,10k,C25804
R19,R_0603_HandSolder,1,3.3k,C22978
R8,R_0603_HandSolder,1,47k,C25819 
SW1,SW-SMD_TS24CA,1,BOOT,C139797
SW2,SW-SMD_TS24CA,1,RESET,C139797
U101,SOT-23,1,TL431A,C79737
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,TL072,C6961
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_12MHz_4Pin,C20625731
