Designator,Mid X,Mid Y,Rotation,Layer
C1,45.682,-50.073,0.0,top
C10,65.621,-63.408,270.0,top
C11,45.682,-58.328,180.0,top
C12,54.064,-63.408,270.0,top
C13,58.001,-63.408,270.0,top
C14,53.048,-45.755,90.0,top
C15,68.796,-54.899,0.0,top
C16,67.526,-63.408,270.0,top
C17,45.682,-60.233,180.0,top
C18,68.796,-52.994,180.0,top
C19,90.64,-65.313,90.0,top
C2,41.872,-53.248,270.0,top
C22,90.64,-60.868,270.0,top
C25,80.48,-61.503,270.0,top
C3,70.32,-49.438,90.0,top
C4,63.716,-63.408,270.0,top
C5,92.545,-51.978,0.0,top
C6,81.115,-51.978,180.0,top
C7,26.759,-64.043,270.0,top
C8,26.759,-69.123,90.0,top
C9,59.398,-48.803,0.0,top
D1,96.355,-69.123,270.0,top
D10,96.99,-17.688,90.0,top
D11,90.005,-46.263,90.0,top
D12,96.355,-76.743,270.0,top
D13,83.655,-46.263,270.0,top
D2,96.99,-92.618,270.0,top
D3,95.085,-46.263,90.0,top
D4,78.575,-46.263,270.0,top
D5,26.124,-56.931,90.0,top
D6,35.522,-56.931,90.0,top
D7,99.53,-92.618,90.0,top
D9,102.07,-27.213,90.0,top
FB1,94.45,-27.848,180.0,top
FB2,79.21,-27.848,0.0,top
J1,55.08,-5.623,270.0,bottom
J2,55.118,-104.648,270.0,bottom
J4,3.645,-55.153,270.0,top
J5,65.748,-77.251,90.0,top
R1,45.682,-56.423,0.0,top
R10,68.796,-56.804,0.0,top
R11,68.796,-58.709,0.0,top
R12,13.17,-52.2555,90.0,top
R13,13.17,-58.328,270.0,top
R14,61.811,-63.408,90.0,top
R15,59.906,-63.408,270.0,top
R16,96.99,-87.538,270.0,top
R17,99.53,-87.538,270.0,top
R19,102.07,-31.658,270.0,top
R20,96.99,-22.133,270.0,top
R3,52.54,-71.12,180.0,top
R4,52.54,-73.06,180.0,top
R6,57.62,-73.06,180.0,top
R7,92.545,-60.868,270.0,top
R8,86.83,-58.328,0.0,top
R9,77.0025,-65.948,180.0,top
SW1,2.54,-31.496,90.0,top
SW2,2.54,-38.862,90.0,top
U101,77.0025,-62.138,180.0,top
U2,65.875,-46.898,180.0,top
U4,32.728,-67.853,90.0,top
U5,55.08,-55.153,0.0,top
U7,85.56,-64.043,180.0,top
Y1,45.682,-53.248,180.0,top
